date,description,amount
2026-01-09,TRADER JOES,-51.48
2026-01-09,CHEVRON FUEL,-55.32
2026-01-09,CVS PHARMACY,-37.29
2026-01-10,DUNKIN DONUTS #760,-8.25
2026-01-10,CHIPOTLE MEXICAN #572,-14.52
2026-01-10,PANERA BREAD #616,-17.6
2026-01-11,AMAZON PRIME MEMBERSHIP,-14.99
2026-01-11,UNKNOWN APP PURCHASE,-2.99
2026-01-11,WHOLE FOODS MARKET,-66.22
2026-01-11,SHELL GAS STATION,-46.9
2026-01-11,SHELL GAS STATION,-50.83
2026-01-12,STARBUCKS #794,-5.35
2026-01-12,STARBUCKS #645,-4.89
2026-01-12,WHOLE FOODS MARKET,-70.38
2026-01-13,STARBUCKS #420,-4.73
2026-01-13,CHIPOTLE MEXICAN #693,-12.82
2026-01-13,CHIPOTLE MEXICAN #678,-14.62
2026-01-13,CHIPOTLE MEXICAN #746,-12.34
2026-01-13,PANERA BREAD #910,-11.77
2026-01-13,PANERA BREAD #957,-13.05
2026-01-13,WHOLE FOODS MARKET,-77.96
2026-01-14,ELECTRIC COMPANY - MONTHLY,-128.67
2026-01-14,GAS UTILITY BILL,-66.85
2026-01-14,PAYCHECK - DIRECT DEPOSIT,3200
2026-01-14,STARBUCKS #379,-5.83
2026-01-14,DUNKIN DONUTS #457,-5.76
2026-01-14,PANERA BREAD #163,-9.75
2026-01-14,CHEVRON FUEL,-40.36
2026-01-14,WENDYS,-24.16
2026-01-15,WHOLE FOODS MARKET,-56.91
2026-01-15,TRADER JOES,-54.33
2026-01-15,MINI GOLF,-65.21
2026-01-16,STARBUCKS #259,-7.15
2026-01-16,STARBUCKS #415,-6.08
2026-01-16,STARBUCKS #826,-6.22
2026-01-16,PANERA BREAD #719,-9.94
2026-01-16,WHOLE FOODS MARKET,-104.19
2026-01-17,INTERNET SERVICE PROVIDER,-79.99
2026-01-17,UBER EATS,-54.94
2026-01-17,WINE AND SPIRITS SHOP,-165.0
2026-01-18,STARBUCKS #514,-7.52
2026-01-18,CHIPOTLE MEXICAN #430,-20.91
2026-01-19,WATER & SEWER UTILITY,-51.85
2026-01-19,APP STORE CHARGE,-4.99
2026-01-19,STARBUCKS #506,-5.56
2026-01-20,STARBUCKS #681,-6.83
2026-01-20,STARBUCKS #953,-6.0
2026-01-21,PANERA BREAD #929,-9.21
2026-01-21,PREMIUM GAS STATION,-95.0
2026-01-22,STARBUCKS #396,-6.79
2026-01-22,PARKING GARAGE,-28.77
2026-01-23,DUNKIN DONUTS #249,-4.09
2026-01-23,SHELL GAS STATION,-48.4
2026-01-24,MYSTERY SUBSCRIPTION,-1.99
2026-01-25,STARBUCKS #119,-6.48
2026-01-25,CHIPOTLE MEXICAN #254,-18.39
2026-01-26,CVS PHARMACY,-13.25
2026-01-27,DIGITAL SERVICE FEE,-3.49
2026-01-27,STARBUCKS #964,-4.76
2026-01-27,SHELL GAS STATION,-41.19
2026-01-28,STARBUCKS #806,-5.88
2026-01-28,TRADER JOES,-65.14
2026-01-28,SHELL GAS STATION,-48.97
2026-01-28,LYFT RIDE,-17.93
2026-01-29,CHEVRON FUEL,-58.25
